glacier name,lat,lon,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AX010,27.7,86.57,-0.867994098,-1.139938726,-0.509856313,-0.516618715,-0.47195407,-1.038011172,-0.708765978,-0.303405837,0.082468799,0.228621886,0.500432334,-0.033646834,0.151436139,0.225998867,-0.013190328,-0.206036426,0.169439184,-0.581016577,-0.741084298,0.340473428,-0.577538558,-0.034240409,-0.004160745,-0.108812692,0.033671924,-0.557160317,0.098536922,-0.967391974,-0.556686854,-0.993845928,-1.265573017,-1.101872498,-0.408025075,-0.375143219,-0.558427491,-0.824114694,-0.457847364,-0.620973306,-0.697872959,-0.512761727,-0.442577833,-0.823064074,-1.521233199,-1.428655343,-0.225030442,-0.647003653,-1.024766463,-0.685581663,-0.738946824,-1.218584822,-1.023748902,-0.801099598,-0.939169435,-1.098422891,-0.864609274,-1.13351537,-0.63107074,-1.384579541,-1.519507593,-1.103072145,-1.129660057,-0.915618927,-0.297788666
Yala,28.25,85.62,-0.713284715,-0.816308446,-0.687472943,-0.672557653,-0.665978954,-0.95142439,-0.873866707,-0.308688655,-0.53650329,-0.709012646,-0.089945536,-0.296587086,-0.556645499,-0.28805677,-0.466180198,-0.490553413,-0.395176962,-0.564512979,-0.789132742,-0.460691677,-0.403681871,-0.358447765,-0.379663802,-0.304136339,-0.126551227,-0.480719395,-0.266683582,-0.492836138,-0.718861292,-0.656647297,-0.695051358,-0.692886836,-0.391455962,-0.61410261,-0.298469429,-0.564823406,-0.539555686,-0.45749971,-0.829101272,-0.713347618,-0.584975079,-0.800129806,-1.070331196,-0.99554307,-0.524127467,-0.729894579,-0.683494901,-0.705861552,-0.687345772,-0.957905676,-0.772954902,-0.706708123,-0.74528837,-0.763198009,-0.569340266,-0.878309838,-0.53728533,-0.964119526,-1.256887815,-0.800271603,-0.930126882,-0.783211535,-0.411394283
Pokalde,27.9,86.8,-0.289874256,-0.535311694,-0.339923553,-0.355018389,-0.026092374,-0.491345261,-0.248310194,0.08455501,0.379526224,0.366678625,0.739021185,0.194298876,0.230372018,0.059613554,0.174520973,0.071318884,0.390044059,-0.100397278,-0.391853796,0.258295691,-0.159494353,0.049287739,0.215702294,0.227653145,0.015161011,-0.101875293,0.38381088,-0.334917908,-0.017531307,-0.278662474,-0.619336376,-0.596856346,0.022525909,-0.224013684,0.110182605,-0.441483521,-0.282362651,-0.526677621,-0.252184544,-0.339987968,-0.198873688,-0.318972243,-0.861410701,-0.700672528,-0.076283534,-0.19982444,-0.390179375,-0.142285143,-0.04061,-0.747861193,-0.38177737,-0.432208633,-0.323947175,-0.377219139,-0.166407143,-0.576970378,-0.128650606,-0.718496578,-0.852815845,-0.538787489,-0.429059923,-0.255429849,0.23665788
Changmekhangpu,27.95,88.68,-0.151239864,-0.313235477,-0.210071779,-0.097762257,-0.018822681,-0.194806078,-0.401699887,-0.114696158,-0.220386818,-0.55261842,-0.026339799,-0.137391914,-0.276722562,0.084237319,-0.292405111,-0.093128133,-0.091966333,0.045339389,-0.400526493,-0.081203466,0.058543752,-0.181629362,0.139482791,-0.098697086,0.110853738,-0.114057346,0.076876315,-0.254640638,-0.247177233,-0.341402486,-0.555348522,-0.59465922,-0.053437915,-0.218623619,-0.085344734,-0.365648775,-0.222182832,-0.157213671,-0.586127343,-0.27264949,0.058819,-0.250833962,-0.670789733,-0.696243709,-0.098661849,-0.167210622,-0.716129822,-0.252416893,-0.207456765,-0.746662409,-0.400120649,-0.627218356,-0.462142277,-0.670253341,-0.586509646,-0.781704411,-0.382095207,-1.043829187,-0.9245214,-0.733429156,-0.666567121,-0.316405854,-0.062480895
Gurenhekou,30.18,90.46,0.626569944,0.128968852,0.528741605,0.66569895,0.246513517,-0.08395638,-0.27291012,0.085283684,0.058763849,-0.276293718,0.699491005,0.470831688,0.231167959,0.449641508,0.332406317,0.436962366,0.662425902,0.540940801,0.340088821,0.707426607,0.019204747,0.522056018,0.907793377,0.224222313,0.717245382,0.724897332,0.679539606,0.550252134,0.8558667,0.065671505,0.340545622,0.207270454,0.578643989,0.66198043,0.217546251,0.024593001,0.393992389,0.377516184,0.478532869,0.532132305,0.498946074,0.448104593,0.124370864,0.02135153,0.473310459,0.065292369,-0.132513155,0.069988316,0.222557348,0.243699976,0.010268504,0.29680699,0.424701092,-0.395934445,-0.378511085,-0.202584117,0.429693357,-0.67962518,-0.713246756,0.260513548,-0.568301493,-0.199347151,-0.010443069
Parlung No.12,29.3,96.9,-0.697853026,-1.062078644,0.443781103,-0.023669877,-0.603998287,-0.289692189,-1.777616596,-0.846623922,-0.810121188,-1.499410047,0.083291008,-1.31267136,-0.203963714,0.661874203,0.103030776,-0.71412434,-0.300657571,-0.775777826,-0.300902473,-1.593791516,-1.347058111,-0.668785017,0.214356885,-1.524542891,0.012119272,-0.104157555,-0.009009102,-1.262323254,-0.737930809,-1.675417187,-0.539577646,-1.580308704,-1.134191506,0.267927086,-1.475980239,-0.08199817,-0.583818053,-1.082514619,0.605935888,0.08912755,-1.667099443,-0.592383356,-1.986402591,-0.835757045,-0.833330886,-0.01915705,-0.678821527,-0.687939578,-0.387778656,-0.636194571,-1.194215129,-1.14197041,0.173228644,-1.833255016,-1.83495763,-1.077665437,-1.244650181,-2.580894038,-1.540810401,-2.137075347,-1.263217898,-1.445289256,-1.553406077
Parlung No.10,29.28,96.9,0.204646139,-0.16975168,0.787127148,0.615331023,0.237386321,0.318032805,-0.786190245,-0.277392366,0.007229209,-0.638567809,0.461439092,-0.441390641,0.406346847,0.977627901,0.657197223,-0.170536763,0.460962455,0.024701864,0.38994618,-0.58710688,-0.632242066,-0.010867098,0.762548353,-0.684349391,0.532424007,0.449216793,0.556347415,-0.377851906,0.144962947,-0.74331948,0.011673146,-0.67935182,-0.31531499,0.686096891,-0.717406095,0.42326575,0.177507019,-0.187512156,1.076183644,0.712616107,-0.657298199,0.359113997,-1.151643961,0.084931927,0.09837033,0.434778013,0.413230983,0.075123478,0.423295145,0.113919238,-0.286410805,-0.387444332,0.62877211,-0.809381721,-0.908818716,-0.444609155,-0.275294952,-1.509619451,-0.738796306,-1.185691727,-0.442502623,-0.642838188,-0.711753437
Zhadang,30.47,90.63,0.577921984,-0.17050952,0.279553471,0.545700385,0.036895975,-0.062943183,-0.604456039,0.293113907,-0.071297535,-0.663045844,0.767531423,0.688974388,0.158605101,0.372214377,-0.086217048,0.443254804,0.558828391,0.548652398,-0.162251257,0.54718011,-0.47099375,0.303533995,0.97200752,-0.069029404,0.657411963,0.442751847,0.424867071,0.383086533,0.717060622,-0.390450891,0.246895956,-0.207378934,0.545453643,0.46979837,-0.498761636,-0.501024477,0.217515071,0.12620335,0.10406701,0.382059992,0.417480753,0.193646637,0.023190756,-0.640699706,0.354940468,-0.194780333,-0.791513457,-0.649253341,-0.141113678,0.114224279,-0.653706636,0.196306705,0.433642541,-1.306492492,-1.2527338,-0.794444458,0.216337683,-1.746059252,-1.885671244,-0.777583988,-1.579118949,-1.078749855,-0.771471832
Parlung No.94,29.38,96.97,-0.139148384,-0.381468522,0.417130115,0.149377742,-0.047629443,0.040275179,-0.957525755,-0.197094318,-0.339478334,-0.792612014,0.273361469,-0.850630655,-0.00570286,0.681437799,0.630519521,-0.202987629,0.226779788,-0.421420511,0.06221181,-0.814252467,-0.625696038,-0.362788922,0.489854736,-0.920016876,0.33593501,0.351639853,0.284443831,-0.65599367,-0.198018797,-0.931642038,-0.337024249,-0.923276639,-0.511096753,0.534540164,-0.817309205,0.326351302,0.090547644,-0.624774128,1.057566466,0.387478773,-0.937369742,-0.071742271,-1.265735744,-0.254140044,-0.270399598,0.451276474,-0.118945327,-0.283714791,0.293459672,-0.122862728,-0.640139549,-0.74046598,0.292105096,-0.995136775,-1.026260099,-0.504141054,-0.625568624,-1.700140806,-0.717224242,-1.287771394,-0.5828766,-0.73832983,-1.012761796
Parlung No.390,29.35,97.02,-0.10246226,-0.26490489,0.002046898,-0.064945285,0.17079589,0.15439554,-1.072034399,-0.174027081,-0.408468775,-0.559769902,0.00662682,-1.276926113,-0.540889475,0.660926225,0.718637641,0.110704972,0.379382613,-0.678661285,0.065641688,-0.944070391,-0.563030378,-0.526691787,0.378698887,-0.889190366,0.305570827,0.446902251,0.651877976,-0.986268542,-0.143789679,-0.959180436,-0.319884763,-1.285354402,-0.415479499,0.563890874,-0.929808554,0.31899769,0.352236746,-0.735800316,1.256329238,0.36403549,-1.089135581,-0.168904346,-1.437997819,-0.248073451,-0.102831426,0.718260863,-0.43803267,-0.311017282,0.435724864,0.34087271,-0.502937814,-0.944445029,0.421066112,-1.028816773,-1.110662278,-0.500389554,-0.869206938,-1.830649689,-0.828426178,-1.172235164,-0.723133929,-0.712386747,-1.401836501
Xiaodongkemadi,33.17,92.13,-0.223251547,0.074052888,-0.067939359,0.180852937,0.008584844,0.190098318,-0.033753928,-0.083232721,-0.089765559,-0.361092853,0.073935125,-0.03447133,-0.011955282,0.38869141,-0.497974965,0.02350896,0.335460627,0.199533472,-0.106023776,0.157992289,-0.69317591,0.046746084,0.248997236,0.040116626,0.4171628,0.047065516,0.018561768,0.150670228,0.18464803,-0.561313556,0.098905276,0.273420057,0.139794739,0.15521864,-0.058903681,-0.484765462,-0.469335975,-0.105408165,-0.129843787,-0.061546145,0.258161556,0.255699861,-0.252622171,-0.196211791,-0.163203008,-0.373408487,-0.696058627,-0.494814246,-0.334705666,-0.207840109,-0.33033054,-0.138500488,-0.196362625,-0.565928868,-0.805437315,-0.443788506,0.060606045,-0.417722443,-0.832625819,-0.132233956,-0.53087953,-1.046699549,0.000258835
Meikuang,35.75,94.3,-0.35248048,-0.175304435,-0.213442798,-0.071289604,-0.142941776,-0.203091044,-0.247250781,-0.194361105,-0.160593971,-0.414891422,-0.11930117,-0.210354975,-0.040710898,-0.137490478,-0.314962652,0.022675128,-0.020632481,-0.155599029,-0.167345865,-0.316574236,-0.503131408,-0.288951431,-0.244112493,-0.240960276,0.222451283,-0.046324769,-0.219121115,0.061841681,-0.12146842,-0.61125737,-0.036519823,0.016320569,0.037152737,-0.156845957,-0.105163456,-0.295520321,-0.33400286,-0.067738606,-0.262179892,-0.331334098,0.217788531,0.014170431,-0.200527956,-0.14136092,-0.328962331,-0.285694712,-0.511242788,-0.579240768,-0.449373598,-0.340272638,-0.382255776,-0.280310309,-0.305088803,-0.314018877,-0.506420046,-0.161330651,-0.118226815,-0.304678339,-0.485420098,-0.15696735,-0.338707153,-0.685002053,-0.195849993
Qiyi,39.24,97.75,-0.425569367,-0.842427036,-0.472089451,-0.509308083,-0.40479785,-0.525556281,-0.058568077,-0.411226302,-0.386994353,-0.271368398,-0.412245189,-0.302472398,0.100433092,-0.113061364,0.068192526,0.219060376,0.010075975,0.090523517,-0.202587509,-0.126003715,0.05737163,-0.184011819,-0.029751312,-0.082529913,0.260044448,0.010305313,-0.224317121,0.345062709,-0.078170229,-0.073102583,0.171268567,0.209880464,0.194807798,-0.19624863,-0.179949779,-0.105693101,-0.153793186,-0.0731781,-0.083432934,-0.155466895,0.158439576,0.300345389,-0.4245732,-0.069963098,-0.175509774,-0.367110203,-0.422082692,-0.5563505,-0.543267504,-0.685787688,-0.394595679,-0.160941688,-0.293883646,-0.442221378,-0.416600578,-0.180793883,-0.308726754,-0.282950638,-0.573200029,-0.460220881,-0.281810003,-0.213215446,-0.131936666
Yanglonghe No.5,39.23,98.57,-0.187311653,-0.566762117,-0.245227668,-0.348949768,-0.287815047,-0.28983616,0.128239257,-0.163618331,-0.188793523,-0.203868677,-0.18116474,-0.096253515,0.37702857,-0.001021631,-0.013526655,0.336391741,0.056742862,0.229199756,-0.082428961,-0.067517256,0.06913612,-0.02828289,0.068986049,0.02473427,0.346209754,0.12847538,-0.139147775,0.325079929,0.110471676,-0.206412246,0.325011485,0.256441058,0.31174626,-0.006414311,-0.023493319,0.117415277,0.073041151,0.007397567,0.020918385,-0.212041137,0.064816296,0.335849713,-0.20836044,-0.112874463,-0.032648856,-0.3698415,-0.35672537,-0.438675381,-0.28370661,-0.508741629,-0.287454317,-0.198371329,-0.193248186,-0.404915191,-0.279658273,-0.078432608,-0.325676124,-0.146092352,-0.28207445,-0.423722684,-0.369456487,-0.068087787,0.04638319
Baishui Glacier No.1,27.104,100.187,0.528247225,0.36512925,-0.865287619,0.331105974,0.342865994,-0.235474575,-0.916164708,-0.795805287,-0.910941532,-0.721844465,0.474100495,-0.413037885,-0.762832941,0.707082393,0.287352192,-0.982804784,0.41306892,-1.150066981,-0.686630624,-0.042574803,-0.576172747,-0.860992832,0.499571562,-0.169070291,0.374296736,-0.5629136,1.182420743,-1.432577006,0.502227341,-0.734074441,-1.295049087,-1.634312363,-0.191154905,0.188435853,-0.715055515,-0.275107107,-1.294977909,-0.120423386,0.900186341,-0.210248308,-0.377010085,-0.078072088,-1.028329639,-0.487390844,-0.644036598,-0.452437046,-1.078805218,-0.476551005,-0.307401374,-0.192336469,0.314251681,-1.295556766,0.117471756,-1.771942983,-1.274168,-0.552709357,-0.534147315,-1.438567539,-1.614881333,-1.148910852,-1.672174259,-1.326139784,-2.176631365
