glacier name,lat,lon,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mametova,43.07,77.1,-0.293670461,-0.775499752,0.25711099,-1.073106165,-0.478406591,-0.680318211,0.239659315,-0.710480241,-0.291113717,-0.94916472,-0.973627998,-0.564515541,-0.225064394,-1.004468196,-0.638829068,-0.200424093,-0.620997226,0.204039393,-0.41688451,-0.675115074,0.010700988,-0.523547898,-0.856393622,-1.020749474,-0.599196034,-1.237543711,-0.692511939,-0.187322957,-0.664362551,-0.261711624,-0.933595723,-0.939355318,-1.240662732,-0.598606459,-0.582536734,-0.110927027,-0.294403083,-0.461057379,-1.090768843,-1.22045126,-0.208594358,-0.381453109,-0.879316754,-1.21707347,-0.700678203,-1.28485141,-0.892812983,-0.617752136,-1.539431846,-1.341414498,-0.433023299,-0.179859762,-0.792746697,-1.339884821,-1.128098324,-1.182540215,-2.226728185,-0.458060076,-0.73123913,-1.167705932,-1.748195204,-0.996135621,-1.436610136
Kara-Batkak,42.14,78.27,-0.145351285,-0.323984238,0.358243686,-0.452085486,-0.169003457,-0.070573821,0.173628646,-0.509303592,0.030416234,-0.826714737,-0.458213052,-0.432640848,0.119520727,-0.525567683,-0.529975153,-0.272100049,-0.426622886,0.315406977,-0.35447976,-0.447018499,0.260421692,-0.562713374,-0.36039224,-0.518311699,-0.49311034,-1.181795859,-1.097312153,-0.323229793,-0.777659997,0.170716804,-0.477987999,-0.370192024,-0.965203295,-0.584996271,-0.279341945,0.307757511,-0.187144291,0.009278103,-1.127780862,-0.775563992,-0.042880252,0.002430906,-0.64830038,-1.138161221,-0.669645624,-1.261761025,-0.833257819,-0.426962673,-1.12299199,-1.23174378,-0.293738433,0.166114087,-0.279747443,-0.483626239,-0.635422652,-0.573099396,-1.533321033,0.147911618,-0.209133679,-0.632701199,-1.039661051,-0.68701179,-1.115505105
Sary,41.83,78.17,0.022770417,-0.04893998,0.45896196,-0.255218825,0.050314686,0.095104113,0.240572022,-0.221790249,0.183825379,-0.743022036,-0.240795002,-0.138514334,0.281225639,-0.270066272,-0.166518625,0.190548439,-0.272014058,0.37026952,-0.146307023,-0.326126912,0.38133893,-0.212731178,-0.117266096,-0.477237721,-0.399729175,-1.119683522,-1.039674965,-0.155690994,-0.511942957,0.548583484,-0.354181295,-0.291937543,-0.99960241,-0.49568889,-0.240824585,0.219788084,-0.017463815,-0.280343074,-0.874014467,-0.714855265,-0.306762629,0.149226161,-0.598149238,-0.964474051,-0.860221864,-1.20284155,-0.553755709,-0.283466613,-0.743827564,-0.996086893,-0.038922886,0.270062301,0.163064493,-0.131343487,-0.384577344,-0.378415597,-1.199156596,0.132220444,0.128719144,-0.438990785,-0.799815173,-0.434203579,-1.000051256
Mayakovskiy,43.02,77.11,0.041675564,-0.331058336,0.478426441,-0.784719497,-0.161882837,-0.409824529,0.52340687,-0.376183266,0.00999429,-0.55010797,-0.706899577,-0.296224124,0.071960184,-0.720688253,-0.27921085,0.137473004,-0.352565908,0.564774713,-0.132536673,-0.405036055,0.343604939,-0.21356356,-0.590209972,-0.720631033,-0.277952429,-0.898611267,-0.338801582,0.140472192,-0.337205597,0.076041116,-0.5854584,-0.612149219,-0.965586541,-0.297069852,-0.223155276,0.164373061,0.022637847,-0.173564591,-0.753288445,-0.908850713,0.13812426,-0.091326353,-0.603077915,-0.915435472,-0.355149065,-0.958605274,-0.50504786,-0.235854899,-1.104390686,-0.996775459,-0.075233741,0.189095275,-0.449611405,-0.98564354,-0.798649449,-0.819608929,-1.829377618,-0.152551666,-0.432249258,-0.764120926,-1.340223181,-0.651918243,-1.061226909
Ordzhonikidze,43.06,77.1,0.075315378,-0.399220636,0.512979676,-0.76725425,-0.105132097,-0.420716878,0.540821565,-0.399728847,0.019501936,-0.607716278,-0.702590466,-0.280098002,0.075945001,-0.724597318,-0.247459516,0.119674644,-0.359228257,0.567523525,-0.136904067,-0.389763503,0.316760227,-0.20211491,-0.590621378,-0.720920787,-0.287079608,-0.90613441,-0.360534822,0.145548067,-0.340868254,0.070013628,-0.626783903,-0.613026602,-0.945702129,-0.287940284,-0.230140738,0.229817082,0.046208422,-0.167867175,-0.764783652,-0.927281762,0.114120355,-0.105459163,-0.576759174,-0.925834728,-0.35261414,-0.964327335,-0.50518967,-0.24313927,-1.142703799,-1.010211754,-0.035090821,0.205549571,-0.434504792,-0.97264728,-0.788516894,-0.818335036,-1.84938175,-0.132349489,-0.413273401,-0.778000466,-1.355513262,-0.655658731,-1.06995622
Zoya,43.05,77.07,0.090566179,-0.690235172,0.537707121,-0.885893954,-0.098383331,-0.537321697,0.513406519,-0.565171636,-0.053063587,-0.808854906,-0.842458438,-0.347112501,-0.004802114,-0.869049454,-0.308490402,-0.009976859,-0.482085448,0.562874225,-0.229750376,-0.470102442,0.236081373,-0.302556484,-0.707865259,-0.884346084,-0.431528926,-1.080614573,-0.518772337,0.172771315,-0.465077693,-0.042222014,-0.799380235,-0.77790749,-1.084887176,-0.391763613,-0.302840257,0.288704313,0.000396684,-0.204287485,-0.922675079,-1.122734458,0.05253419,-0.234250081,-0.665694707,-1.115959956,-0.48098656,-1.150754858,-0.651751379,-0.378988617,-1.336668199,-1.225282941,-0.084078385,-0.018468706,-0.528601043,-1.139238006,-0.921495528,-0.981009955,-2.183217682,-0.198720529,-0.492566199,-0.911674846,-1.60336695,-0.831422807,-1.287394008
Visyachiy,43.04,77.08,-0.129138185,-0.955501178,0.429361583,-1.055374865,-0.311943195,-0.721670761,0.370050224,-0.761133873,-0.215850904,-1.123240661,-0.989053623,-0.502427045,-0.171908407,-1.04975372,-0.523558153,-0.229193092,-0.627479339,0.309432644,-0.42248445,-0.625859805,-0.062256295,-0.457137356,-0.880067631,-1.061844773,-0.61035147,-1.296829673,-0.732590612,-0.103787044,-0.709638879,-0.228692834,-0.990257948,-0.953227864,-1.216872776,-0.556558553,-0.630160781,0.106221815,-0.210689594,-0.4320538,-1.149016978,-1.307401307,-0.231562654,-0.395464767,-0.81209502,-1.291334953,-0.679712231,-1.32952036,-0.886906813,-0.643690192,-1.669324525,-1.406618717,-0.309681269,-0.239569706,-0.756282919,-1.331075481,-1.1362088,-1.215738351,-2.378540339,-0.361873666,-0.684185069,-1.242878435,-1.879934962,-1.02780308,-1.509808824
Akshiyrak,41.79,78.15,-0.112824458,-0.077880472,0.284350357,-0.24404076,-0.181768704,0.042308912,0.078822107,-0.270728561,0.00131132,-0.593412518,-0.267978625,-0.188222568,0.132949462,-0.284021137,-0.273441164,0.078463857,-0.280340208,0.175075183,-0.203668151,-0.325928845,0.242402584,-0.30307526,-0.129972312,-0.441970497,-0.399131107,-0.923472004,-0.890624947,-0.255340468,-0.488940944,0.28801143,-0.28837561,-0.372776969,-0.917311589,-0.472508694,-0.293403571,-0.00133239,-0.14448043,-0.269460919,-0.792142836,-0.604367452,-0.281670877,0.04446329,-0.617954178,-0.809617548,-0.659771476,-1.000187608,-0.479063687,-0.340979299,-0.654136361,-0.849311319,-0.218560092,0.107355303,-0.046387674,-0.241329727,-0.425787244,-0.414624127,-1.011194669,-0.010662498,-0.045653424,-0.458666866,-0.746024532,-0.470156814,-0.844262254
Abramov,39.62,71.56,0.063417342,-0.274480922,0.910188868,-0.23675555,-0.544311927,-0.193872738,0.377817034,0.016987852,-0.23515053,-0.951128381,-0.782394439,-0.161291959,0.241124227,-0.666231291,-0.06043017,-0.267084445,-0.334132367,0.744066882,-0.193033894,-0.554752322,0.297684252,-0.88379145,-0.680221468,-0.867851998,-0.402362688,-1.168229017,-0.699650764,-0.508218093,-0.704865876,0.018987352,-0.584428395,-0.416004161,-1.483780834,-0.647971203,-0.831462148,0.314144667,-0.222171354,-0.319628183,-0.897540618,-0.27140516,0.256489306,-0.068930918,-0.469055869,-0.613792344,-0.145319827,-1.076027108,-0.46700893,-0.671451062,-1.038610447,-1.10065358,-0.392249088,-0.08040951,-0.385521574,-0.967674603,-0.792022379,-0.779971352,-1.878045413,-0.366977748,-0.169488843,-1.926054153,-1.34698211,-1.528927559,-1.584943271
Muztag Ata,38.23,75.05,-0.016667691,0.20419648,-0.090797325,-0.089833692,0.399210345,-0.015323609,0.133487566,0.203889024,-0.092626468,-0.091187259,0.399210345,-0.015323609,0.291690551,0.41714285,0.318777895,0.191551705,0.215199315,0.17140412,0.063428425,-0.158809852,0.139047251,-0.260460628,0.349679807,0.314732741,0.007173701,0.070807111,-0.466164436,0.207910124,0.178661182,0.215981019,0.249692573,0.06351652,-0.484486277,0.157162144,0.21355008,0.1721843,0.116034826,0.431464915,-0.151548605,0.113270053,0.261116419,0.305338104,-0.452735952,0.048772711,0.169077482,-0.212744291,0.170492842,0.314982023,0.132166737,0.156649438,0.195926249,-0.037480395,0.475741101,0.30389704,-0.146855079,0.401214034,0.246569303,0.082268908,0.4155042,-0.194721307,0.389956719,-0.391439069,0.159252535
